"ticker","year","sen"
CMN,2010,0.0
VSA,2010,0.0
VSC,2010,0.0
CMS,2010,0.0
VSH,2010,0.0
CMT,2010,0.0
VSG,2010,0.0
PGD,2010,0.0
CMV,2010,0.0
PGC,2010,0.0
VSI,2010,0.0
CMX,2010,0.0
VST,2010,0.0
PGT,2010,0.0
CNG,2010,0.0
PGS,2010,0.0
NCT,2010,0.0
NCS,2010,0.0
VTA,2010,0.0
GVT,2010,0.0
VTC,2010,0.0
VTB,2010,0.0
TPC,2010,0.0
VTE,2010,0.0
CNT,2010,0.0
VTG,2010,0.0
PHC,2010,0.0
VTI,2010,0.0
VTH,2010,0.0
TPH,2010,0.0
VTJ,2010,0.0
VTL,2010,0.0
VTO,2010,0.0
PHH,2010,0.0
VTP,2010,0.0
VTS,2010,0.0
TPP,2010,0.0
PHN,2010,0.0
NDN,2010,0.0
PHP,2010,0.0
VTV,2010,0.0
NDP,2010,0.0
PHR,2010,0.0
VTX,2010,0.0
COM,2010,0.0
NDX,2010,0.0
D11,2010,0.0
PIA,2010,0.0
PID,2010,0.0
PIC,2010,0.0
NED,2010,0.0
LAF,2010,0.0
LAI,2010,0.0
CPC,2010,0.0
PIT,2010,0.0
NET,2010,0.0
PIV,2010,0.0
CPI,2010,0.0
LAS,2010,0.0
TRA,2010,0.0
TRC,2010,0.0
PJC,2010,0.0
ALT,2010,0.0
NFC,2010,0.0
ALV,2010,0.0
LBE,2010,0.0
VW3,2010,0.0
TS4,2010,0.0
LBM,2010,0.0
AMC,2010,0.0
D2D,2010,0.0
TRT,2010,0.0
PJS,2010,0.0
AME,2010,0.0
PJT,2010,0.0
CQN,2010,0.0
TSB,2010,0.0
AMP,2010,0.0
TSC,2010,0.0
AMV,2010,0.0
NGC,2010,0.0
LCD,2010,0.0
LCC,2010,0.0
LCG,2010,0.0
TST,2010,0.0
EVE,2010,0.0
S12,2010,0.0
LCM,2010,0.0
LCS,2010,0.0
VXB,2010,0.0
TTC,2010,0.0
PLA,2010,0.0
TTD,2010,0.0
NHA,2010,0.0
PLC,2010,0.0
TTG,2010,0.0
TTF,2010,0.0
NHC,2010,0.0
ANV,2010,0.0
TTL,2010,0.0
TTP,2010,0.0
CSC,2010,0.0
TTT,2010,0.0
LDP,2010,0.0
S27,2010,0.0
TTZ,2010,0.0
CSM,2010,0.0
CT3,2010,0.0
CT6,2010,0.0
PMC,2010,0.0
LEC,2010,0.0
TV1,2010,0.0
CTB,2010,0.0
TV3,2010,0.0
CTA,2010,0.0
TV2,2010,0.0
CTD,2010,0.0
CTC,2010,0.0
TV4,2010,0.0
APC,2010,0.0
PMT,2010,0.0
APF,2010,0.0
PMS,2010,0.0
CTI,2010,0.0
PMW,2010,0.0
CTN,2010,0.0
CTR,2010,0.0
APP,2010,0.0
CTT,2010,0.0
TVD,2010,0.0
PNC,2010,0.0
TVG,2010,0.0
APT,2010,0.0
CTX,2010,0.0
CTW,2010,0.0
PNG,2010,0.0
PNJ,2010,0.0
TVT,2010,0.0
PNT,2010,0.0
LGC,2010,0.0
NKG,2010,0.0
POM,2010,0.0
LGL,2010,0.0
S55,2010,0.0
LGM,2010,0.0
