Company_Code,ticker,company_name,sector
HBH,HBH,Công ty Cổ phần Habeco - Hải Phòng,Sản xuất bia
NOS,NOS,Công ty cổ phần Vận tải biển và Thương mại Phương Đông,Vận tải Thủy
HD2,HD2,Công ty cổ phần Đầu tư Phát triển nhà HUD2,Bất động sản
PTT,PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Dịch vụ vận tải
NQT,NQT,CTCP Nước sạch Quảng Trị,Nước
FCC,FCC,Công ty Cổ phần Liên Hợp Thực Phẩm,Bất động sản
PX1,PX1,Công ty Cổ phần Xi măng Sông Lam 2,Vật liệu xây dựng & Nội thất
FCS,FCS,Công ty cổ phần Lương thực thành phố Hồ Chí Minh,Thực phẩm
NTF,NTF,Công ty cổ phần Dược - Vật tư Y tế Nghệ An,Dược phẩm
DCG,DCG,Công ty cổ phần Tổng Công ty May Đáp Cầu,Hàng May mặc
SB1,SB1,Công ty cổ phần bia Sài Gòn - Nghệ Tĩnh,Sản xuất bia
SCI,SCI,Công ty cổ phần SCI E&C,Xây dựng
HND,HND,Công ty Cổ phần Nhiệt điện Hải Phòng,Sản xuất & Phân phối Điện
SCS,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Hàng không
BCM,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản
DGW,DGW,Công ty Cổ phần Thế giới Số,Phân phối hàng chuyên dụng
HPD,HPD,Công ty Công ty Cổ phần Thủy điện Đăk Đoa,Sản xuất & Phân phối Điện
HPH,HPH,Công ty Cổ phần Hóa chất Hưng Phát Hà Bắc,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HTM,HTM,Tổng Công ty Thương Mại Hà Nội - Công ty cổ phần,Bán lẻ phức hợp
G20,G20,Công ty Cổ phần Đầu tư Dệt may G.Home,Hàng May mặc
SJG,SJG,Tổng Công ty Sông Đà - CTCP,Xây dựng
DND,DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Vật liệu xây dựng & Nội thất
DOP,DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Dịch vụ vận tải
HWS,HWS,Công ty Cổ phần Cấp nước Thừa Thiên Huế,Nước
DP3,DP3,Công ty Cổ phần Dược phẩm Trung ương 3,Dược phẩm
FTM,FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Hàng May mặc
SP2,SP2,Công ty cổ phần Thủy điện Sử Pán 2,Sản xuất & Phân phối Điện
DSG,DSG,Công ty Cổ phần Kính Viglacera Đáp Cầu,Vật liệu xây dựng & Nội thất
OIL,OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Sản xuất và Khai thác dầu khí
SRT,SRT,CTCP Vận tải Đường sắt Sài Gòn,Đường sắt
QPH,QPH,Công ty Cổ phần thủy điện Quế Phong,Sản xuất & Phân phối Điện
MIE,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Máy công nghiệp
BTV,BTV,Công ty Cổ phần Dịch vụ du lịch Bến Thành,Vận tải hành khách & Du lịch
ICC,ICC,Công ty cổ phần Xây dựng Công nghiệp,Xây dựng
IDC,IDC,Tổng Công ty IDICO - CTCP,Bất động sản
KPF,KPF,Công ty cổ phần Đầu tư tài chính Hoàng Minh,Vật liệu xây dựng & Nội thất
VET,VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
TCD,TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,Xây dựng
